origin,origin_name,destination_code,destination_name,country_code,currency,price,depart,booking_link
MNL,Manila,BRC,"San Carlos de Bariloche, Argentina",AR,USD,1772,2026-07-22,https://www.aviasales.com/search/MNL2207BRC1?marker=741311
TPE,Taipei,PAE,"Everett, United States",US,USD,1211,2026-07-20,https://www.aviasales.com/search/TPE2007PAE1?marker=741311
TPE,Taipei,GRU,"Sao Paulo, Brazil",BR,USD,1249,2026-07-26,https://www.aviasales.com/search/TPE2607GRU1?t=LA17850825001785174300002190TPESINMELSCLGRU_92375b539a6802278c90622a615c0db0_96000&search_date=13072026&expected_price_uuid=019f5a8b-60ad-8030-295e-9e8ae3e477f1&static_fare_key=TY%7CP0%7CH0%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=y6-cCAHqtC-77Ylu1LQRjg&destination_airports=0&expected_price_source=share&expected_price_currency=usd&expected_price=1249&marker=741311
TPE,Taipei,SAO,"Sao Paulo, Brazil",BR,USD,1263,2026-07-26,https://www.aviasales.com/search/TPE2607SAO1?marker=741311
TPE,Taipei,AUG,"Augusta, United States",US,USD,1305,2026-07-22,https://www.aviasales.com/search/TPE2207AUG1?marker=741311
TPE,Taipei,BUE,"Buenos Aires, Argentina",AR,USD,1390,2026-07-22,https://www.aviasales.com/search/TPE2207BUE1?marker=741311
SGN,Ho Chi Minh,SOF,"Sofia, Bulgaria",BG,USD,1207,2026-07-17,https://www.aviasales.com/search/SGN1707SOF1?marker=741311
SGN,Ho Chi Minh,MVD,"Montevideo, Uruguay",UY,USD,1225,2026-07-19,https://www.aviasales.com/search/SGN1907MVD1?marker=741311
SGN,Ho Chi Minh,HLE,"Jamestown (Saint Helena), Saint Helena, Ascension and Tristan da Cunha",SH,USD,1281,2026-07-18,https://www.aviasales.com/search/SGN1807HLE1?marker=741311
SGN,Ho Chi Minh,ASU,"Asuncion, Paraguay",PY,USD,1382,2026-07-19,https://www.aviasales.com/search/SGN1907ASU1?marker=741311
SGN,Ho Chi Minh,CJC,"Calama, Chile",CL,USD,1412,2026-07-24,https://www.aviasales.com/search/SGN2407CJC1?marker=741311
SGN,Ho Chi Minh,SCL,"Santiago, Chile",CL,USD,1416,2026-07-18,https://www.aviasales.com/search/SGN1807SCL1?marker=741311
SGN,Ho Chi Minh,RIO,"Rio de Janeiro, Brazil",BR,USD,1426,2026-07-23,https://www.aviasales.com/search/SGN2307RIO1?marker=741311
SGN,Ho Chi Minh,LIM,"Lima, Peru",PE,USD,1546,2026-07-31,https://www.aviasales.com/search/SGN3107LIM1?marker=741311
SGN,Ho Chi Minh,HAV,"Havana, Cuba",CU,USD,1642,2026-07-31,https://www.aviasales.com/search/SGN3107HAV1?marker=741311
SYD,Sydney,HGA,"Hargeisa, Somalia",SO,USD,1181,2026-07-26,https://www.aviasales.com/search/SYD2607HGA1?marker=741311
SYD,Sydney,KHV,"Khabarovsk, Russia",RU,USD,1288,2026-07-24,https://www.aviasales.com/search/SYD2407KHV1?marker=741311
SYD,Sydney,PNI,"Pohnpei, Micronesia",FM,USD,1299,2026-07-31,https://www.aviasales.com/search/SYD3107PNI1?marker=741311
SYD,Sydney,OAK,"Oakland, United States",US,USD,1395,2026-07-18,https://www.aviasales.com/search/SYD1807OAK1?marker=741311
SYD,Sydney,INU,"Nauru Island, Nauru",NR,USD,2084,2026-07-25,https://www.aviasales.com/search/SYD2507INU1?marker=741311
SYD,Sydney,HNM,"Hana, United States",US,USD,5413,2026-07-23,https://www.aviasales.com/search/SYD2307HNM1?marker=741311
